TIME,PDCSAP_FLUX
3201.068508627526,15279.676
3201.088940198293,15274.39
3201.109371968829,15279.3125
3201.1298036393564,15278.598
3201.1502353096585,15273.76
3201.1706669797277,15282.065
3201.191098649557,15266.105
3201.211530319393,15269.109
3201.2319619892296,15272.385
3201.252393658826,15267.662
3201.2728253281966,15278.13
3201.293257097568,15269.15
3201.313688666698,15275.313
3201.334120335603,15265.131
3201.354552104509,15274.883
3201.374983673173,15268.816
3201.3954153418454,15261.958
3201.4158471102855,15269.323
3201.436278678717,15271.6875
3201.4567104469243,15273.771
3201.477142114898,15271.859
3201.4975736828637,
3201.5180054506054,15276.9375
3201.5384371181135,15267.977
3201.5588686856136,15268.213
3201.5793004531224,15280.181
3201.599732020397,15278.269
3201.620163787433,15261.887
3201.6405954542424,15273.859
3201.661027121052,15269.869
3201.6814586878536,15267.939
3201.701890454431,15278.819
3201.722322120775,15268.402
3201.742753687111,
3201.763185453223,15294.445
3201.7836171192175,15285.785
3201.8040486850878,15285.111
3201.8244804508504,15290.549
3201.844912116496,15285.779
3201.865343881902,15240.398
3201.885775447314,15088.13
3201.9062071124936,14877.867
3201.9266388775504,14787.608
3201.947070442613,14956.249
3201.967502,15152.644
3201.987933872035,15261.73
3202.0083654366317,15285.461
3202.0287971009966,15281.014
3202.049228865355,15281.976
3202.0696604294862,15279.704
3202.0900920934946,15268
3202.1105238573946,15292.808
3202.1309555211774,15289.955
3202.151387084843,15282.634
3202.171819,15299.119
3202.1922505117036,15279.301
3202.212682174897,15279.788
3202.2331138379814,15281.162
3202.2535455010657,15288.837
3202.273977,15288.009
3202.294408826645,15284.108
3202.314840489147,15281.163
3202.335272151642,15275.18
3202.355703814028,15277.125
3202.376135476181,15282.622
3202.3965671383266,15274.767
3202.416998800247,15279.321
3202.437430362166,15286.533
3202.457862123847,15276.667
3202.478293785418,15281.138
3202.4987254468724,15271.753
3202.519157108203,15280.9
3202.539588769425,15272.653
3202.5600205304145,15273.692
3202.5804520913953,15278.431
3202.6008837522677,15278.875
3202.621315512908,15272.572
3202.641747073423,15271.954
3202.6621787339463,15274.424
3202.6826104942375,15274.046
3202.703042154404,15277.235
3202.723473714461,15269.421
3202.7439054744027,15273.2295
3202.764337134686,15271.527
3202.7847686943933,15275.023
3202.805200453986,15268.852
3202.825632113454,15271.063
3202.846063672696,15283.513
3202.8664954319393,15276.165
3202.886927091058,15291.197
3202.9073588499523,15277.471
3202.927790408845,15288.534
3202.948222067498,15281.643
3202.9686538261594,
3202.9890853845864,15294.576
3203.009517043007,15293.706
3203.0299487012016,15292.296
3203.05038,15290.318
3203.070812017235,15291.193
3203.091243675197,15301.306
3203.111675332926,15289.404
3203.1321069905316,15293.754
3203.152538648028,15289.914
3203.172970305408,15286.863
3203.193401962664,15292.275
3203.213833719812,15289.2705
3203.234265276842,15285.789
3203.254697,15287.782
3203.2751286905477,15285.477
3203.2955602472284,15298.5625
3203.315992003787,15314.738
3203.3364236602356,15284.351
3203.356855216567,15296.824
3203.3772869727763,15293.482
3203.3977186288757,15292.32
3203.418150184858,15289.83
3203.4385819406016,15295.381
3203.4590135963517,
3203.4794451519847,15300.57
3203.4998769074955,15302.049
3203.5203085628964,15299.971
3203.5407402181736,15304.664
3203.5611718733417,15296.593
3203.5816035283933,15291.814
3203.6020352832056,15297.955
3203.6224668380237,15301.477
3203.642898492726,15294.711
3203.6633302473056,15293.574
3203.683761901775,15299.509
3203.7041934561275,15296.546
3203.7246252103578,15299.095
3203.745056864478,15297.611
3203.7654884184813,15294.698
3203.7859201723622,15298.04
3203.8063517261326,15298.964
3203.8267833799036,15300.209
3203.8472151334354,15292.333
3203.8676466868565,15293.285
3203.888078340162,15293.274
3203.9085100933444,15305.747
